Player Name,Team,Kills,Attacking Errors,Attacking Attempts,Attacks Per Match
Taejun,KOR,0,0,0,0
Jiwon,KOR,0,0,0,0
Kyeongmin,KOR,0,0,0,0
Sungjin,KOR,0,0,0,0
Changseong,KOR,0,1,0,0.00
Jihan,KOR,0,0,0,0
Matheus G.,BRA,0,0,0,0
Adriano,BRA,0,0,0,0
Matheus,BRA,0,0,0,0
Maique,BRA,0,0,0,0
L. Bergmann,BRA,0,0,0,0
Chizoba,BRA,0,0,0,0
Wang H.B.,CHN,0,0,0,0
Yu Y.C.,CHN,0,0,1,0.00
Zhang Z.J.,CHN,0,0,5,0.00
Qu Z.S.,CHN,0,0,0,0
Li T. Y.,CHN,0,0,0,0
Balaso,ITA,0,0,0,0
Sbertoli,ITA,0,0,0,0
Sani,ITA,0,0,0,0
Pace,ITA,0,0,0,0
Arab,ALG,0,2,0,0.00
Zerouka,ALG,0,0,0,0
Kadri,ALG,0,0,0,0
Bourouba,ALG,0,2,2,0.00
Dekkiche A,ALG,0,0,0,0
Abi Ayad,ALG,0,0,0,0
Hamimes,ALG,0,0,2,0.00
