Player Name,Team,Position,Age,Height
Yevstratov,UKR,SETTER,32,190cm
Sbertoli,ITA,SETTER,27,188cm
Wijkstra,NED,OUTSIDE HITTER,23,205cm
Uryvkin,UKR,OPPOSITE SPIKER,24,197cm
Chaboissant,FRA,SETTER,22,189cm
Sabino,BRA,OPPOSITE SPIKER,23,201cm
Tille,GER,SETTER,28,186cm
Thiago,CUB,MIDDLE BLOCKER,21,194cm
Šen,SLO,OUTSIDE HITTER,23,192cm
Caneschi,ITA,MIDDLE BLOCKER,28,205cm
Kokeza,SRB,MIDDLE BLOCKER,21,205cm
Hilmi,TUR,SETTER,22,186cm
Karyagin,BUL,OUTSIDE HITTER,22,206cm
Recine,ITA,OUTSIDE HITTER,26,186cm
Boninfante,ITA,SETTER,21,188cm
Chelenyak,UKR,MIDDLE BLOCKER,20,200cm
Strehlau,FRA,OUTSIDE HITTER,21,199cm
Feral,FRA,OPPOSITE SPIKER,22,197cm
Tevkun,UKR,OPPOSITE SPIKER,37,205cm
Kirkit,TUR,OUTSIDE HITTER,24,194cm
Can Koç,TUR,OPPOSITE SPIKER,22,200cm
de Groot,NED,OUTSIDE HITTER,20,190cm
Czunkiewicz,POL,LIBERO,28,183cm
Hawryluk,POL,LIBERO,22,182cm
Granieczny,POL,LIBERO,20,179cm
Zaleszczyk,POL,MIDDLE BLOCKER,23,205cm
Kozub,POL,SETTER,27,188cm
Klok,NED,LIBERO,26,189cm
Lipke,NED,LIBERO,22,180cm
Qu Z.S.,CHN,LIBERO,26,186cm
Li T. Y.,CHN,LIBERO,23,183cm
Ogawa,JPN,LIBERO,29,176cm
Soshi,JPN,LIBERO,25,178cm
Shimokawa,JPN,SETTER,25,178cm
Ristić,SRB,LIBERO,21,190cm
Negic,SRB,LIBERO,25,180cm
Ertuğrul Gazi,TUR,MIDDLE BLOCKER,29,204cm
Hatipoğlu,TUR,LIBERO,33,190cm
B. Bayraktar,TUR,LIBERO,27,190cm
Nachev,BUL,MIDDLE BLOCKER,21,206cm
Bozhilov,BUL,LIBERO,37,190cm
Zhelev,BUL,OUTSIDE HITTER,23,197cm
Laurenzano,ITA,LIBERO,22,176cm
Pace,ITA,LIBERO,25,180cm
Boiko,UKR,LIBERO,22,180cm
Nalozhnyi,UKR,OUTSIDE HITTER,29,196cm
Briggs,USA,LIBERO,24,182cm
Dagostino,USA,LIBERO,30,175cm
Martinez Franchi,ARG,LIBERO,27,190cm
Scarpa,ARG,LIBERO,23,186cm
Maciel,ARG,MIDDLE BLOCKER,23,205cm
Diez,FRA,LIBERO,27,183cm
Ramon,FRA,LIBERO,25,186cm
Maique,BRA,LIBERO,28,187cm
Maicon,BRA,OUTSIDE HITTER,21,215cm
Alexandre,BRA,LIBERO,27,190cm
Hazrat,IRI,LIBERO,26,187cm
Arman,IRI,LIBERO,32,180cm
Graven,GER,LIBERO,21,180cm
Eckardt,GER,LIBERO,24,183cm
Meier,GER,OUTSIDE HITTER,23,205cm
Korreck,GER,MIDDLE BLOCKER,24,210cm
Greves,CAN,SETTER,22,185cm
Lui,CAN,LIBERO,25,177cm
Currie,CAN,LIBERO,25,175cm
Vinčić,SLO,SETTER,39,200cm
Okroglič,SLO,LIBERO,21,185cm
Kovačič,SLO,LIBERO,33,186cm
Gonzalez,CUB,OPPOSITE SPIKER,22,207cm
Garcia,CUB,LIBERO,32,175cm
Camino,CUB,LIBERO,22,186cm
Diaz,ARG,OUTSIDE HITTER,19,193cm
Kulpinac,SRB,OPPOSITE SPIKER,18,200cm
Pampushko,UKR,LIBERO,23,180cm
Patry,FRA,OPPOSITE SPIKER,28,207cm
Balaso,ITA,LIBERO,29,178cm
Milanović,SRB,SETTER,20,194cm
Shoji,USA,LIBERO,36,184cm
Goto,JPN,OUTSIDE HITTER,24,187cm
Telkiyski,BUL,SETTER,24,197cm
Yamamoto,JPN,LIBERO,30,171cm
Danani,ARG,LIBERO,29,176cm
Muhammed K.,TUR,SETTER,30,201cm
Marshman,USA,MIDDLE BLOCKER,31,201cm
Grebennikov,FRA,LIBERO,35,188cm
Toniutti,FRA,SETTER,35,183cm
D. Kolev,BUL,LIBERO,23,176cm
Popiwczak,POL,LIBERO,29,180cm
Yamauchi,JPN,MIDDLE BLOCKER,31,204cm
Carle,FRA,OUTSIDE HITTER,29,195cm
