Player Name,Team,Great Saves,Defensive Errors,Defensive Receptions,Digs Per Match
Chinenyeze,FRA,5,0,0,0.62
D. Dimitrov,BUL,5,0,2,1.25
Śliwka,POL,5,4,8,1.25
Yamamoto,JPN,5,2,2,1.00
Wiltenburg,NED,4,3,7,0.33
Peng S.K.,CHN,4,5,11,0.50
Murayama,JPN,4,1,1,0.50
Nishimoto,JPN,4,1,3,0.44
Nikolić,SRB,4,11,12,0.33
Yüksel,TUR,4,1,2,0.36
Georgiev,BUL,4,2,1,0.33
Yousef,IRI,4,2,1,0.36
Fiel,CUB,4,3,6,0.31
Matheus,BRA,4,2,5,0.33
Stefanović,SRB,4,2,5,0.50
Onodera,JPN,4,2,8,1.00
Parkinson,NED,3,1,1,1.50
Keihan,JPN,3,4,0,0.75
Hilmi,TUR,3,1,1,0.38
Kisiliuk,UKR,3,0,6,0.38
Conde,ARG,3,5,3,0.25
Marovt,SLO,3,0,4,0.21
Kržič,SLO,3,4,10,0.20
Miwa,JPN,3,3,4,0.75
Bołądź,POL,3,1,0,0.43
Canham,CAN,3,2,6,0.75
Howe,CAN,3,2,1,1.00
Bednorz,POL,3,1,2,0.60
Lipke,NED,2,1,1,0.50
Shimokawa,JPN,2,0,1,1.00
Gajović,SRB,2,4,1,0.17
Sanguinetti,ITA,2,1,1,0.18
Boninfante,ITA,2,0,3,0.50
Gasman,USA,2,0,0,0.50
Chaboissant,FRA,2,3,6,0.50
Eckardt,GER,2,1,1,0.50
J. Elser,CAN,2,8,4,0.18
Matin,IRI,2,0,0,0.40
Krage,GER,2,3,2,0.25
Plak,NED,2,6,8,0.25
Nishiyama,JPN,2,3,5,0.22
Adamczyk,POL,2,4,4,0.50
Pasteur,USA,2,4,3,0.50
Holdaway,USA,2,1,4,1.00
Kirkit,TUR,2,1,0,0.33
Pajenk,SLO,2,0,2,2.00
Kozub,POL,1,3,2,0.12
Korenblek,NED,1,0,1,0.08
Kokeza,SRB,1,0,1,0.25
Karyagin,BUL,1,0,1,0.25
Chelenyak,UKR,1,1,1,0.08
Uryvkin,UKR,1,0,0,0.25
Chizoba,BRA,1,1,0,0.10
