Player Name,Team,Blocks,Blocking Errors,Rebounds,Blocks Per Match
Gajović,SRB,0,0,0,0
Todorović,SRB,0,0,0,0
Brborić,SRB,0,0,0,0
Drahonovsky,CZE,0,0,0,0
Monik,CZE,0,0,0,0
Bartunek,CZE,0,0,1,0.00
Licek,CZE,0,2,0,0.00
Srb,CZE,0,0,0,0
Kovarik,CZE,0,0,0,0
Indra,CZE,0,3,6,0.00
Polak,CZE,0,0,0,0
Benda,CZE,0,0,0,0
Grebennikov,FRA,0,0,0,0
Toniutti,FRA,0,0,0,0
Ngapeth,FRA,0,1,2,0.00
Henno,FRA,0,4,5,0.00
Diez,FRA,0,0,0,0
Taekeui,KOR,0,3,4,0.00
Taejun,KOR,0,0,0,0
Jiwon,KOR,0,0,0,0
Kyeongmin,KOR,0,0,0,0
Sungjin,KOR,0,0,0,0
Gyeongbok,KOR,0,1,1,0.00
Hanyong,KOR,0,3,1,0.00
Hojin,KOR,0,0,0,0
Jihan,KOR,0,0,0,0
Matheus G.,BRA,0,0,0,0
Adriano,BRA,0,0,0,0
Matheus,BRA,0,0,0,0
Honorato,BRA,0,0,1,0.00
Fernando,BRA,0,2,3,0.00
Maique,BRA,0,0,0,0
L. Bergmann,BRA,0,0,0,0
Chizoba,BRA,0,0,0,0
Darlan,BRA,0,2,0,0.00
Wen Z. H.,CHN,0,2,3,0.00
Wang H.B.,CHN,0,1,0,0.00
Yu Y.C.,CHN,0,2,4,0.00
Ji D.S.,CHN,0,0,0,0
Zhang Z.J.,CHN,0,2,3,0.00
Qu Z.S.,CHN,0,0,0,0
Wang B.,CHN,0,1,2,0.00
Li T. Y.,CHN,0,0,0,0
Balaso,ITA,0,0,0,0
Sani,ITA,0,0,0,0
Romanò,ITA,0,7,5,0.00
Pace,ITA,0,0,0,0
Porro L.,ITA,0,0,0,0
Arab,ALG,0,1,0,0.00
Zerouka,ALG,0,0,0,0
Kadri,ALG,0,0,0,0
Chikhi,ALG,0,3,3,0.00
Bourouba,ALG,0,1,1,0.00
Dekkiche A,ALG,0,0,0,0
Abi Ayad,ALG,0,0,0,0
Farouk,ALG,0,0,1,0.00
Hamimes,ALG,0,2,3,0.00
