Player Name,Team,Position,positional_rating,rating_att,att_eff,att_vol,att_raw,rating_blk,blk_eff,blk_vol,blk_raw,rating_serv,serv_eff,serv_vol,serv_raw,rating_set,set_eff,set_vol,set_raw,rating_def,def_eff,def_vol,def_raw,rating_recv,recv_eff,recv_vol,recv_raw
McHenry,USA,MIDDLE BLOCKER,43.69,18.5,1.5,0.2,0.18,45.3,0.25,0.55,0.27,4.42,0.05,0.13,0.02,0.0,0.0,0.0,0.0,9.95,0.8,0.21,0.12,0.0,-0.33,0.0,0.0
Meier,GER,OUTSIDE HITTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meijs,NED,OPPOSITE SPIKER,11.53,11.59,0.66,0.19,0.11,3.5,0.21,0.08,0.02,8.93,0.13,0.15,0.04,0.05,0.2,0.0,0.0,0.0,-0.17,0.07,0.0,0.0,0.0,0.0,0.0
Mergarejo,CUB,OUTSIDE HITTER,4.9,2.77,0.64,0.06,0.03,2.02,0.29,0.05,0.01,4.67,0.05,0.14,0.02,0.04,0.11,0.0,0.0,7.33,3.0,0.11,0.09,0.0,-0.06,0.03,0.0
Miao R.T.,CHN,MIDDLE BLOCKER,5.02,2.84,0.67,0.06,0.03,4.16,0.13,0.11,0.02,2.84,0.07,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michieletto,ITA,OUTSIDE HITTER,83.0,63.01,0.92,0.69,0.61,37.48,0.33,0.44,0.22,96.93,0.21,1.0,0.39,0.37,0.12,0.02,0.0,19.79,0.46,0.42,0.24,31.28,0.25,0.47,0.2
Milanović,SRB,SETTER,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miwa,JPN,MIDDLE BLOCKER,4.38,6.3,0.86,0.1,0.06,2.33,0.08,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,-2.0,0.0,0.0
Miyaura,JPN,OPPOSITE SPIKER,76.05,84.71,1.12,0.81,0.82,4.2,0.09,0.12,0.02,55.41,0.18,0.64,0.22,0.03,0.06,0.0,0.0,18.17,0.75,0.34,0.22,0.0,-0.14,0.0,0.0
Mohammad,IRI,MIDDLE BLOCKER,35.74,35.38,1.84,0.32,0.34,25.27,0.15,0.41,0.15,3.94,0.03,0.16,0.02,0.04,0.1,0.0,0.0,11.06,1.2,0.2,0.13,0.89,0.14,0.03,0.01
