Player Name,Team,Position,Age,Height,Impact,Attacking Rating,Blocking Rating,Serving Rating,Setting Rating,Defense Rating,Receiving Rating,Running Sets,Setting Errors,Still Sets,Sets Per Match,Successful Receives,Receiving Errors,Service Receptions,Receives Per Match,Aces,Service Errors,Service Attempts,Serves Per Match,Blocks,Blocking Errors,Rebounds,Blocks Per Match,Great Saves,Defensive Errors,Defensive Receptions,Digs Per Match,Kills,Attacking Errors,Attacking Attempts,Attacks Per Match
Duflos Rossi,FRA,OUTSIDE HITTER,18,198cm,12.88,1.64,1.04,0.0,0.0,4.39,18.38,0,0,1,0.0,15,1,24,1.88,0,3,15,0.0,1,4,4,0.12,8,3,6,1.0,10,7,23,1.25
Eckardt,GER,LIBERO,24,183cm,1.49,0.0,0.0,0.0,0.0,1.92,0.0,0,0,1,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2,1,1,0.5,0,0,0,0.0
Eiro,JPN,SETTER,29,192cm,24.84,0.0,1.76,5.91,26.14,5.7,0.0,146,1,354,13.27,0,0,2,0.0,4,7,70,0.36,2,6,10,0.18,18,10,25,1.64,3,3,1,0.27
Eisa,IRI,MIDDLE BLOCKER,24,203cm,48.16,12.61,55.63,0.49,0.04,10.86,0.87,1,0,13,0.1,2,0,7,0.2,1,9,106,0.1,20,34,26,2.0,17,7,7,1.7,28,8,18,2.8
Elgert,CAN,SETTER,27,191cm,34.42,0.12,1.22,11.42,37.42,0.0,0.0,200,2,377,16.67,0,1,3,0.0,7,12,98,0.58,2,14,21,0.17,11,18,35,0.92,1,0,2,0.08
Ensing,USA,OPPOSITE SPIKER,28,201cm,11.18,9.84,2.98,8.45,0.0,1.96,0.0,0,0,4,0.0,0,0,0,0.0,3,2,32,0.38,2,7,5,0.25,8,7,9,1.0,23,11,19,2.88
Ertuğrul Gazi,TUR,MIDDLE BLOCKER,29,204cm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Esfandiar,IRI,OUTSIDE HITTER,26,209cm,23.77,20.43,23.95,23.66,0.0,9.15,0.0,0,0,13,0.0,11,12,53,0.92,9,22,60,0.75,11,7,11,0.92,19,6,11,1.58,56,15,48,4.67
Ewert,USA,OUTSIDE HITTER,28,195cm,25.3,23.64,7.07,0.0,0.0,0.0,20.9,0,0,21,0.0,37,10,117,3.08,0,12,83,0.0,6,25,15,0.5,16,20,25,1.33,70,25,67,5.83
Faure,FRA,OPPOSITE SPIKER,25,202cm,97.81,96.05,13.68,51.65,0.02,48.03,1.16,1,0,28,0.08,2,0,2,0.15,22,55,177,1.69,11,37,43,0.85,72,29,34,5.54,211,60,159,16.23
Feral,FRA,OPPOSITE SPIKER,22,197cm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,3,2,0.0,0,0,0,0.0,0,0,0,0.0,1,0,0,0.25
Fernando,BRA,SETTER,29,186cm,88.03,1.39,4.82,13.28,100.0,0.0,0.0,507,3,611,33.8,0,1,1,0.0,10,23,142,0.67,6,19,33,0.4,28,35,60,1.87,9,3,11,0.6
Fiel,CUB,MIDDLE BLOCKER,32,205cm,15.54,4.38,16.85,3.96,0.0,0.5,0.27,0,0,6,0.0,1,0,4,0.08,3,6,45,0.23,11,25,18,0.85,4,3,6,0.31,18,7,15,1.38
Firlej,POL,SETTER,28,188cm,30.22,0.46,1.57,1.92,32.81,10.98,0.0,158,3,255,14.36,0,0,3,0.0,2,6,64,0.18,2,12,10,0.18,22,9,15,2.0,3,1,5,0.27
