Player Name,Team,attacking_Kills,attacking_Attacking Errors,attacking_Attacking Attempts,attacking_Attacks Per Match,blocking_Blocks,blocking_Blocking Errors,blocking_Rebounds,blocking_Blocks Per Match,defense_Great Saves,defense_Defensive Errors,defense_Receptions,defense_Digs Per Match,receiving_Successful Receives,receiving_Receiving Errors,receiving_Service Receptions,receiving_Receives Per Match,serving_Aces,serving_Service Errors,serving_Service Attempts,serving_Serves Per Match,setting_Running Sets,setting_Setting Errors,setting_Still Sets,setting_Sets Per Match
Clevenot,FRA,7,2,3,3.5,2,2,2,1.0,1,1,0,0.5,4,0,10,2.0,0,2,8,0.0,0,0,0,0.0
Concepcion,CUB,18,5,13,6.0,6,12,11,2.0,3,1,0,1.0,0,0,3,0.0,0,7,23,0.0,1,0,8,0.33
Constantin,ROU,0,0,0,0.0,0,1,0,0.0,3,1,0,1.0,0,0,0,0.0,0,0,2,0.0,6,1,14,2.0
Coolman,BEL,8,0,8,4.0,5,5,16,2.5,7,2,0,3.5,1,0,0,0.5,0,1,31,0.0,0,0,3,0.0
Currie,CAN,0,0,0,0.0,0,0,0,0.0,22,10,0,7.33,6,2,41,2.0,0,0,0,0.0,0,0,6,0.0
Cveticanin,POR,20,2,10,6.67,9,7,14,3.0,4,3,0,1.33,1,0,6,0.33,0,1,28,0.0,0,0,3,0.0
D'Hulst,BEL,0,1,0,0.0,0,4,1,0.0,9,5,0,4.5,0,0,1,0.0,0,1,48,0.0,49,1,131,24.5
D'heer,BEL,4,2,5,2.0,1,6,4,0.5,3,0,0,1.5,0,0,1,0.0,0,4,9,1.0,0,0,0,0.0
D. Kolev,BUL,0,0,0,0.0,0,0,0,0.0,16,12,0,5.33,16,3,49,5.33,0,0,0,0.0,0,0,6,0.0
Dagostino,USA,0,0,0,0.0,0,0,0,0.0,5,3,0,1.67,4,1,9,1.33,0,0,0,0.0,0,0,9,0.0
Danani,ARG,0,0,0,0.0,0,0,0,0.0,15,9,0,7.5,6,1,23,3.0,0,0,0,0.0,0,0,13,0.0
Daneshdoust,IRI,1,1,1,0.5,0,1,0,0.0,0,1,0,0.0,2,0,3,1.0,0,0,4,0.0,1,0,0,0.5
Darlan,BRA,5,2,6,2.5,0,2,0,0.0,1,0,0,0.5,0,0,0,0.0,0,2,0,0.0,0,0,0,0.0
De Cecco,ARG,2,0,1,1.0,0,3,4,0.0,5,5,0,2.5,0,0,1,0.0,0,4,20,1.0,92,0,79,46.0
Dekkiche A,ALG,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,0,0.0,0,0,0,0.0
Dermaux,BEL,0,0,0,0.0,0,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,0,0.0,0,0,0,0.0
Deroo,BEL,23,10,24,11.5,5,7,8,2.5,8,3,0,4.0,9,2,27,4.5,0,2,15,0.5,3,0,12,1.5
Desmet,BEL,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Deyo,EGY,4,1,2,2.0,0,2,1,0.0,1,0,0,0.5,2,0,3,1.0,0,3,4,0.0,0,0,1,0.0
Diez,FRA,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Disquitado,PHI,1,1,1,0.5,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,0,2,9,0.0,0,0,3,0.0
Dobrev,BUL,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Donghyeok,KOR,18,12,18,9.0,4,8,4,2.0,5,2,0,2.5,0,0,2,0.0,0,3,12,0.0,0,0,5,0.0
Dour,ALG,14,6,11,7.0,4,3,5,2.0,4,8,0,2.0,12,6,31,6.0,0,3,8,1.0,0,0,4,0.0
Drahonovsky,CZE,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Drozd,UKR,6,0,8,3.0,5,7,10,2.5,4,1,0,2.0,0,1,0,0.0,0,1,17,1.0,0,0,2,0.0
Dumitru,ROU,1,1,1,0.33,2,5,6,0.67,9,6,0,3.0,0,0,1,0.0,0,5,25,0.0,65,2,112,21.67
Eiro,JPN,0,0,0,0.0,1,2,1,0.33,3,3,0,1.0,0,0,0,0.0,0,1,13,0.0,45,0,58,15.0
Eisa,IRI,4,0,0,2.0,2,3,3,1.0,0,1,0,0.0,0,0,0,0.0,0,0,13,0.5,0,0,1,0.0
Elgert,CAN,0,0,0,0.0,0,1,0,0.0,1,0,0,0.33,0,0,0,0.0,0,1,3,0.0,15,0,7,5.0
Elhossiny,EGY,23,9,14,11.5,1,4,8,0.5,15,4,0,7.5,17,2,45,8.5,0,6,19,0.5,0,0,4,0.0
Ensing,USA,6,1,10,2.0,1,1,3,0.33,5,0,0,1.67,0,0,0,0.0,0,3,7,0.0,0,0,3,0.0
Esfandiar,IRI,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,3,0.5,0,0,0,0.0
Espejo,PHI,17,7,23,8.5,3,5,3,1.5,8,5,0,4.0,17,1,35,8.5,0,8,15,1.0,0,0,3,0.0
Ewert,USA,31,6,18,10.33,4,2,2,1.33,19,3,0,6.33,7,4,23,2.33,0,1,29,0.0,0,0,3,0.0
Fafchamps,BEL,1,1,1,0.5,1,3,2,0.5,2,0,0,1.0,0,0,0,0.0,0,2,4,0.5,0,0,0,0.0
Farouk,ALG,4,2,5,2.0,0,0,1,0.0,4,1,0,2.0,2,1,5,1.0,0,1,1,0.0,0,0,0,0.0
Faure,FRA,2,1,4,1.0,1,0,1,0.5,1,0,0,0.5,0,0,0,0.0,0,0,1,0.0,0,0,0,0.0
Fernando,BRA,1,0,0,0.5,0,2,3,0.0,0,2,0,0.0,0,0,0,0.0,0,1,30,1.0,88,1,69,44.0
Fiel,CUB,1,0,1,0.33,0,3,0,0.0,0,1,0,0.0,0,0,1,0.0,0,0,3,0.0,0,0,0,0.0
Firlej,POL,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2,0,0,0.67
Flavio,BRA,11,6,5,5.5,7,7,11,3.5,4,0,0,2.0,0,0,2,0.0,0,1,21,0.0,0,0,2,0.0
Fornal,POL,16,4,13,5.33,6,5,3,2.0,7,8,0,2.33,5,1,23,1.67,0,11,16,1.0,0,1,7,0.0
Gago,CHI,10,6,7,3.33,3,6,4,1.0,2,4,0,0.67,1,0,0,0.33,0,0,26,0.0,0,0,2,0.0
Gajović,SRB,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,2,6,0.5,0,0,0,0.0
Galabov,CZE,15,8,10,7.5,2,2,2,1.0,3,6,0,1.5,10,0,23,5.0,0,4,16,0.5,0,0,3,0.0
Galassi,ITA,1,0,1,0.5,3,2,2,1.5,1,0,0,0.5,0,0,0,0.0,0,0,5,0.0,0,0,1,0.0
Gallego,ARG,8,3,9,4.0,6,9,4,3.0,5,2,0,2.5,0,0,0,0.0,0,2,18,0.0,1,0,1,0.5
Garcia,CUB,0,0,0,0.0,0,0,0,0.0,12,9,0,4.0,15,3,35,5.0,0,0,0,0.0,2,0,9,0.67
Garcia,USA,24,8,21,8.0,4,8,8,1.33,10,3,0,3.33,0,0,2,0.0,0,8,23,2.67,0,1,1,0.0
Gargiulo,ITA,4,0,3,2.0,3,1,1,1.5,2,0,0,1.0,0,0,2,0.0,0,1,9,0.0,0,0,1,0.0
Garwash,LBA,16,10,15,5.33,2,3,3,0.67,11,4,0,3.67,8,10,47,2.67,0,5,27,0.0,0,0,3,0.0
Giannelli,ITA,2,0,0,1.0,1,3,3,0.5,5,2,0,2.5,1,0,2,0.5,0,3,21,0.5,51,1,58,25.5
Giraudo,ARG,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,2,0.0
Gomez,ARG,1,3,1,0.5,1,1,0,0.5,0,2,0,0.0,0,0,0,0.0,0,1,1,0.5,0,0,0,0.0
Gomez,CUB,1,1,3,0.33,0,2,1,0.0,3,1,0,1.0,0,0,1,0.0,0,0,15,0.67,33,0,49,11.0
Goncalo,POR,0,0,0,0.0,0,0,0,0.0,11,8,0,3.67,0,0,0,0.0,0,0,0,0.0,0,0,7,0.0
Granieczny,POL,0,0,0,0.0,0,0,0,0.0,1,1,0,0.33,0,0,3,0.0,0,0,0,0.0,0,1,4,0.0
Graven,GER,0,0,0,0.0,0,0,0,0.0,16,13,0,5.33,5,0,41,1.67,0,0,0,0.0,0,0,9,0.0
Grebennikov,FRA,0,0,0,0.0,0,0,0,0.0,24,8,0,12.0,9,2,18,4.5,0,0,0,0.0,0,0,15,0.0
Grozdanov,BUL,10,1,13,3.33,9,8,10,3.0,4,2,0,1.33,1,0,0,0.33,0,2,41,0.0,0,0,3,0.0
Grozer,GER,30,11,23,10.0,6,9,13,2.0,8,2,0,2.67,0,1,2,0.0,0,14,25,1.33,0,0,2,0.0
Gyeongbok,KOR,3,4,8,1.5,0,1,1,0.0,2,0,0,1.0,0,5,10,0.0,0,2,3,0.0,0,0,3,0.0
Gyimah,CAN,17,0,9,5.67,6,12,6,2.0,3,0,0,1.0,0,1,6,0.0,0,10,7,0.33,0,0,2,0.0
Haapaniemi,FIN,0,1,4,0.0,0,1,1,0.0,1,1,0,0.5,0,0,0,0.0,0,0,7,0.5,0,0,0,0.0
Haghparast,IRI,4,2,1,2.0,0,1,0,0.0,2,1,0,1.0,0,1,3,0.0,0,2,11,0.0,0,0,0,0.0
Hajipour,IRI,24,7,16,12.0,6,5,6,3.0,8,3,0,4.0,0,0,1,0.0,0,2,22,0.5,0,0,4,0.0
Hamada,EGY,14,1,5,7.0,7,6,5,3.5,1,1,0,0.5,0,0,0,0.0,0,2,25,0.5,0,0,1,0.0
