Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency %,Total
11,Ordiales,PHI,0,2,2,0.00,-50.00,4
11,Adajar,PHI,0,0,0,,,0
11,Ramirez,PHI,0,0,0,,,0
11,Buddin,PHI,0,0,0,,,0
11,Disquitado,PHI,0,1,1,0.00,-50.00,2
11,Boussabah.A,TUN,0,0,0,,,0
11,Bouaziz. A,TUN,0,1,0,0.00,-100.00,1
11,Nagga H.,TUN,0,0,0,,,0
11,Baccour.W,TUN,0,0,0,,,0
11,Ridene.M,TUN,0,0,0,,,0
11,Korbosli T,TUN,0,0,0,,,0
11,Dagostino,USA,0,0,0,,,0
11,Averill,USA,0,0,0,,,0
11,Shoji,USA,0,0,0,,,0
11,Jimenez,COL,0,6,4,0.00,-60.00,10
11,Mendoza,COL,0,3,0,0.00,-100.00,3
11,Roosvuelt,COL,0,0,0,,,0
11,Ruiz,COL,0,0,0,,,0
11,Caicedo,COL,0,0,0,,,0
11,larrahondo,COL,0,0,0,,,0
11,Ambuila,COL,0,2,3,0.00,-40.00,5
11,J. Elser,CAN,0,0,0,,,0
11,Howe,CAN,0,2,3,0.00,-40.00,5
11,Elgert,CAN,0,1,0,0.00,-100.00,1
11,Wassenaar Ketrzynski,CAN,0,1,3,0.00,-25.00,4
11,Schnitzer,CAN,0,0,0,,,0
11,Lui,CAN,0,0,0,,,0
11,Currie,CAN,0,0,0,,,0
11,jnefa,LBA,0,1,0,0.00,-100.00,1
11,Abdelmalek,LBA,0,0,0,,,0
11,Almarrug,LBA,0,0,0,,,0
11,Mousa,LBA,0,1,0,0.00,-100.00,1
11,Alashlam,LBA,0,2,0,0.00,-100.00,2
11,Abulababa,LBA,0,7,2,0.00,-77.78,9
11,Zakka Ragab Tarek,LBA,0,0,0,,,0
11,M. Alajeeli,LBA,0,0,0,,,0
11,Garcia,CUB,0,0,0,,,0
11,Gomez,CUB,0,2,1,0.00,-66.67,3
11,Camino,CUB,0,0,0,,,0
11,Lopez,CUB,0,3,0,0.00,-100.00,3
11,Alonso,CUB,0,0,0,,,0
11,J. Gutierrez,CUB,0,0,0,,,0
11,Fiel,CUB,0,3,0,0.00,-100.00,3
11,Rafael,POR,0,0,0,,,0
11,Alex,POR,0,0,0,,,0
11,Ivo Casas,POR,0,0,0,,,0
11,Goncalo,POR,0,0,0,,,0
11,B. Dias,POR,0,1,2,0.00,-33.33,3
11,Menezes,POR,0,0,0,,,0
11,Andre,POR,0,1,0,0.00,-100.00,1
11,Otsuka,JPN,0,0,0,,,0
11,Oya,JPN,0,0,2,0.00,0.00,2
11,Ran,JPN,0,10,2,0.00,-83.33,12
11,Ogawa,JPN,0,0,0,,,0
11,Kai,JPN,0,0,0,,,0
11,Nishimoto,JPN,0,0,0,,,0
11,Yamamoto,JPN,0,0,0,,,0
11,Yüksel,TUR,0,3,3,0.00,-50.00,6
11,Hatipoğlu,TUR,0,0,0,,,0
11,B. Bayraktar,TUR,0,0,0,,,0
11,Muhammed K.,TUR,0,0,0,,,0
11,Can Koç,TUR,0,0,0,,,0
11,Kaplan,TUR,0,0,0,,,0
11,Graven,GER,0,0,0,,,0
11,Reichert,GER,0,5,0,0.00,-100.00,5
11,John,GER,0,2,0,0.00,-100.00,2
11,Peter,GER,0,0,0,,,0
11,Krage,GER,0,0,0,,,0
11,Burggräf,GER,0,0,2,0.00,0.00,2
11,Mohwinkel,GER,0,0,0,,,0
11,Torwie,GER,0,0,0,,,0
11,Nachev,BUL,0,0,0,,,0
11,Tatarov,BUL,0,0,0,,,0
11,Zhelev,BUL,0,0,0,,,0
11,Antov,BUL,0,0,0,,,0
11,Palev,BUL,0,0,0,,,0
11,Dobrev,BUL,0,0,0,,,0
11,D. Kolev,BUL,0,0,0,,,0
11,Petkov,BUL,0,0,1,0.00,0.00,1
11,Keemink,NED,0,1,2,0.00,-33.33,3
11,Meijs,NED,0,0,1,0.00,0.00,1
11,Jorna,NED,0,0,0,,,0
11,Klok,NED,0,0,0,,,0
11,Wijkstra,NED,0,0,0,,,0
11,Wiltenburg,NED,0,0,0,,,0
11,Sulaiman,QAT,0,0,0,,,0
11,Waleed,QAT,0,0,3,0.00,0.00,3
11,Nikola,QAT,0,4,6,0.00,-40.00,10
11,Naji,QAT,0,0,0,,,0
11,Mahdi,QAT,0,0,0,,,0
11,Marovt,SLO,0,0,0,,,0
11,Štalekar,SLO,0,2,0,0.00,-100.00,2
11,Okroglič,SLO,0,0,0,,,0
11,Kovačič,SLO,0,0,0,,,0
11,Urnaut,SLO,0,0,0,,,0
11,Kržič,SLO,0,0,0,,,0
11,Ibarra,CHI,0,0,2,0.00,0.00,2
11,Parraguirre,CHI,0,4,8,0.00,-33.33,12
11,Albornoz,CHI,0,1,0,0.00,-100.00,1
11,Bonacic,CHI,0,7,3,0.00,-70.00,10
11,Mardones,CHI,0,1,0,0.00,-100.00,1
11,Castillo,CHI,0,0,0,,,0
11,Bravo,CHI,0,0,0,,,0
11,Bonacic,CHI,0,0,0,,,0
11,Banda,CHI,0,4,1,0.00,-80.00,5
11,Popiwczak,POL,0,0,0,,,0
11,Szalpuk,POL,0,2,0,0.00,-100.00,2
11,Granieczny,POL,0,0,0,,,0
11,Nowak J.,POL,0,0,2,0.00,0.00,2
11,Firlej,POL,0,0,0,,,0
11,Constantin,ROU,0,1,0,0.00,-100.00,1
11,Balean,ROU,0,9,5,0.00,-64.29,14
11,Kosinski,ROU,0,0,0,,,0
11,Bala,ROU,0,6,1,0.00,-85.71,7
11,Butnaru,ROU,0,0,0,,,0
11,Kantor,ROU,0,0,0,,,0
11,Lupu,ROU,0,3,3,0.00,-50.00,6
11,Ionescu,ROU,0,0,1,0.00,0.00,1
11,Sanchez Pages,ARG,0,0,1,0.00,0.00,1
11,Danani,ARG,0,0,0,,,0
11,Armoa Morel,ARG,0,0,0,,,0
11,De Cecco,ARG,0,3,4,0.00,-42.86,7
11,Luengas,ARG,0,0,0,,,0
11,Giraudo,ARG,0,0,0,,,0
11,Tervaportti,FIN,0,0,1,0.00,0.00,1
11,Köykkä,FIN,0,0,0,,,0
11,Haapaniemi,FIN,0,1,1,0.00,-50.00,2
11,Jokela,FIN,0,1,6,0.00,-14.29,7
11,Breilin,FIN,0,0,0,,,0
11,Marttila,FIN,0,0,0,,,0
11,Kaunisto,FIN,0,0,0,,,0
11,Saadat,IRI,0,1,0,0.00,-100.00,1
11,Daneshdoust,IRI,0,1,0,0.00,-100.00,1
11,Hazrat,IRI,0,0,0,,,0
11,Esfandiar,IRI,0,0,0,,,0
11,A. Ramezani,IRI,0,0,0,,,0
11,Arshia,IRI,0,12,2,0.00,-85.71,14
11,Arman,IRI,0,0,0,,,0
11,Haghparast,IRI,0,1,0,0.00,-100.00,1
11,Z. Osama,EGY,0,4,2,0.00,-66.67,6
11,M. Reda,EGY,0,0,0,,,0
11,M. Ramadan,EGY,0,0,0,,,0
11,Asran,EGY,0,0,0,,,0
11,Deyo,EGY,0,2,1,0.00,-66.67,3
11,Azab,EGY,0,0,0,,,0
11,A.Ellakany,EGY,0,0,0,,,0
11,Shchytkov,UKR,0,0,0,,,0
11,Boiko,UKR,0,0,0,,,0
11,Poluian,UKR,0,0,0,,,0
11,Kisiliuk,UKR,0,0,0,,,0
11,Pampushko,UKR,0,0,0,,,0
11,Todua,UKR,0,0,0,,,0
11,Uryvkin,UKR,0,0,0,,,0
11,Koval,UKR,0,0,0,,,0
11,D'Hulst,BEL,0,4,1,0.00,-80.00,5
11,Plaskie,BEL,0,0,0,,,0
11,Desmet,BEL,0,0,0,,,0
11,V. Hoyweghen,BEL,0,0,0,,,0
11,Verwimp K.,BEL,0,0,0,,,0
11,Dermaux,BEL,0,1,0,0.00,-100.00,1
11,Lantsoght,BEL,0,0,0,,,0
11,Perin,BEL,0,0,0,,,0
11,Nikolić,SRB,0,0,0,,,0
11,Negic,SRB,0,0,0,,,0
11,Mašulović V.,SRB,0,0,0,,,0
11,Ivović,SRB,0,0,0,,,0
11,Gajović,SRB,0,0,0,,,0
11,Todorović,SRB,0,0,0,,,0
11,Brborić,SRB,0,0,0,,,0
11,Drahonovsky,CZE,0,0,0,,,0
11,Monik,CZE,0,0,0,,,0
11,Bartunek,CZE,0,0,1,0.00,0.00,1
11,Licek,CZE,0,2,0,0.00,-100.00,2
11,Srb,CZE,0,0,0,,,0
